Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL175791,,0,237.3,0,3.58,26a,COc1cccc2c1/C(=C/c1cccnc1)CC2,IC50,'=',9740.0,nM,5.01,,,UO_0000065,21.12,0.38,1.43,22.66,False,CHEMBL830012,In vitro inhibitory concentration against human placental CYP19 incubated with 500 nM of substrate androstenedione in presence of the compound,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1142706,1,Scientific Literature,J. Med. Chem.,2005.0,None,
CHEMBL179144,,0,225.27,0,3.71,6b,Fc1ccc2c(c1)CC/C2=C/c1ccncc1,IC50,'=',800.0,nM,6.1,,,UO_0000065,27.06,0.49,2.39,47.3,True,CHEMBL830012,In vitro inhibitory concentration against human placental CYP19 incubated with 500 nM of substrate androstenedione in presence of the compound,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1142706,1,Scientific Literature,J. Med. Chem.,2005.0,None,
CHEMBL366773,,0,286.17,0,4.33,10a,Brc1ccc2c(c1)CC/C2=C\c1ccncc1,IC50,'>',36000.0,nM,,,,UO_0000065,,,,,False,CHEMBL830012,In vitro inhibitory concentration against human placental CYP19 incubated with 500 nM of substrate androstenedione in presence of the compound,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1142706,1,Scientific Literature,J. Med. Chem.,2005.0,None,
CHEMBL596779,,0,383.43,0,2.05,21,CN(C)S(=O)(=O)Oc1ccc(-c2cc(Cn3cncn3)ccc2C#N)cc1,IC50,'=',0.5,nM,9.3,,,UO_0000065,24.26,0.47,7.25,9.2,False,CHEMBL1067556,Inhibition of aromatase in human JEG3 cells by scintillation spectrometry,B,BAO_0000219,cell-based format,Homo sapiens,None,None,JEG-3,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157574,1,Scientific Literature,J. Med. Chem.,2010.0,CHEMBL3308202,
CHEMBL598212,,0,389.82,0,2.10,53,N#Cc1ccc(Cn2cncn2)c(-c2ccc(OS(N)(=O)=O)c(Cl)c2)c1,IC50,'=',1.9,nM,8.72,,,UO_0000065,22.37,0.46,6.62,7.04,False,CHEMBL1067556,Inhibition of aromatase in human JEG3 cells by scintillation spectrometry,B,BAO_0000219,cell-based format,Homo sapiens,None,None,JEG-3,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157574,1,Scientific Literature,J. Med. Chem.,2010.0,CHEMBL3308202,
CHEMBL609618,,0,355.38,0,1.45,48,N#Cc1cc(Cn2cncn2)ccc1-c1ccc(OS(N)(=O)=O)cc1,IC50,'=',284.0,nM,6.55,,,UO_0000065,18.42,0.36,5.1,5.28,False,CHEMBL1067556,Inhibition of aromatase in human JEG3 cells by scintillation spectrometry,B,BAO_0000219,cell-based format,Homo sapiens,None,None,JEG-3,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157574,1,Scientific Literature,J. Med. Chem.,2010.0,CHEMBL3308202,
CHEMBL599864,,0,310.74,0,3.22,25,N#Cc1ccc(Cn2cncn2)cc1-c1ccc(Cl)c(O)c1,IC50,'=',0.22,nM,9.66,,,UO_0000065,31.08,0.6,6.44,12.92,False,CHEMBL1067556,Inhibition of aromatase in human JEG3 cells by scintillation spectrometry,B,BAO_0000219,cell-based format,Homo sapiens,None,None,JEG-3,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157574,1,Scientific Literature,J. Med. Chem.,2010.0,CHEMBL3308202,
CHEMBL367149,DOCONEXENT,3,328.5,1,6.55,11,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,IC50,'=',33200.0,nM,4.48,,,UO_0000065,13.63,0.25,-2.07,12.01,False,CHEMBL976710,Inhibition of aromatase in human placental microsomes by radiometric method,B,BAO_0000251,microsome format,Homo sapiens,None,None,None,Microsome,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157337,1,Scientific Literature,J. Nat. Prod.,2006.0,None,
CHEMBL479366,,0,355.38,0,1.37,28,N#Cc1ccc(C(c2ccc(OS(N)(=O)=O)cc2)n2cncn2)cc1,IC50,'=',13.0,nM,7.89,,,UO_0000065,22.19,0.43,6.52,6.37,False,CHEMBL988317,Inhibition of aromatase activity in human JEG3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,JEG-3,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155113,1,Scientific Literature,J. Med. Chem.,2008.0,CHEMBL3308202,
CHEMBL479737,,0,425.45,0,0.08,7,NS(=O)(=O)Oc1cccc(C(c2cccc(OS(N)(=O)=O)c2)n2cncn2)c1,IC50,'=',99.0,nM,7.0,,,UO_0000065,16.46,0.34,6.92,4.13,False,CHEMBL988317,Inhibition of aromatase activity in human JEG3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,JEG-3,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155113,1,Scientific Literature,J. Med. Chem.,2008.0,CHEMBL3308202,
CHEMBL489360,,0,374.43,1,5.85,2bo,Fc1ccc(CC(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)c(F)c1,IC50,'=',260.0,nM,6.58,,,UO_0000065,17.59,0.32,0.74,36.95,False,CHEMBL987995,Inhibition of human aromatase,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1144209,1,Scientific Literature,Bioorg. Med. Chem.,2008.0,None,
CHEMBL489187,,0,352.48,1,5.89,2bf,Cc1ccccc1CC(Cc1ccc(-c2ccccc2)cc1)n1ccnc1,IC50,'=',1040.0,nM,5.98,,,UO_0000065,16.97,0.3,0.09,33.57,False,CHEMBL987995,Inhibition of human aromatase,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1144209,1,Scientific Literature,Bioorg. Med. Chem.,2008.0,None,
CHEMBL164,MYRICETIN,0,318.24,1,1.69,Myricetin,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,IC50,'=',10000.0,nM,5.0,,,UO_0000065,15.71,0.3,3.31,3.3,False,CHEMBL987970,Inhibition of human aromatase by fluorometric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1144205,1,Scientific Literature,Bioorg. Med. Chem.,2008.0,None,
CHEMBL1668328,FUSARENTIN 6-METHYL ETHER,0,296.32,0,1.74,4,CCC[C@H](O)C[C@@H]1Cc2cc(OC)c(O)c(O)c2C(=O)O1,IC50,'>',16800.0,nM,,,,UO_0000065,,,,,False,CHEMBL1671282,Inhibition of CYP19,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1667722,1,Scientific Literature,J. Nat. Prod.,2011.0,None,
CHEMBL157101,KETOCONAZOLE,4,531.44,1,4.21,Ketoconazole,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,IC50,'=',2400.0,nM,5.62,,,UO_0000065,10.57,0.21,1.41,8.14,False,CHEMBL1671282,Inhibition of CYP19,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1667722,1,Scientific Literature,J. Nat. Prod.,2011.0,None,
CHEMBL1688901,,0,368.34,0,3.90,13,O=c1cc(Cn2ccnc2)c2ccc(OCc3ccc(F)c(F)c3)cc2o1,IC50,'=',165.0,nM,6.78,,,UO_0000065,18.41,0.34,2.88,11.85,True,CHEMBL1694074,Inhibition of human placental microsome CYP19 using [1beta-3H] androstenedione as a substrate,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687929,1,Scientific Literature,J. Med. Chem.,2011.0,None,
CHEMBL1688909,,0,361.4,0,3.90,22,CN(C)c1ccc(Oc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)cc1,IC50,'=',81.0,nM,7.09,,,UO_0000065,19.62,0.36,3.19,11.72,False,CHEMBL1694074,Inhibition of human placental microsome CYP19 using [1beta-3H] androstenedione as a substrate,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687929,1,Scientific Literature,J. Med. Chem.,2011.0,None,
CHEMBL1688919,,0,394.43,1,5.42,34,O=c1oc2cc(Oc3ccccc3)ccc2cc1C(c1ccccc1)n1ccnc1,IC50,'=',313.0,nM,6.5,,,UO_0000065,16.49,0.3,1.08,11.36,False,CHEMBL1694074,Inhibition of human placental microsome CYP19 using [1beta-3H] androstenedione as a substrate,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687929,1,Scientific Literature,J. Med. Chem.,2011.0,None,
CHEMBL440832,,0,354.53,1,5.67,4e,CCCCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,IC50,'=',54.0,nM,7.27,,,UO_0000065,20.5,0.38,1.6,21.29,False,CHEMBL661697,In vitro inhibitory activity against Cytochrome P450 19A1 in human placental microsomes,B,BAO_0000251,microsome format,None,None,None,None,Microsome,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1129505,1,Scientific Literature,J. Med. Chem.,1996.0,None,
CHEMBL488513,MONOCERIN,0,308.33,0,2.58,1,CCC[C@H]1C[C@H]2OC(=O)c3c(cc(OC)c(OC)c3O)[C@H]2O1,IC50,'>',16200.0,nM,,,,UO_0000065,,,,,False,CHEMBL1671282,Inhibition of CYP19,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1667722,1,Scientific Literature,J. Nat. Prod.,2011.0,None,
CHEMBL294360,,0,296.3,0,2.41,4d,Fc1ccc(C(C2Cc3ccccc3O2)n2cnnn2)cc1,IC50,'=',2170.0,nM,5.66,,,UO_0000065,19.11,0.35,3.25,10.72,False,CHEMBL645583,"Inhibition of human placental aromatase, cytochrome P450 19A1",B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1131809,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1999.0,None,
CHEMBL1668326,,0,294.3,0,2.28,2,CCC[C@H]1C[C@H]2OC(=O)c3c(cc(OC)c(O)c3O)[C@H]2O1,IC50,'>',16900.0,nM,,,,UO_0000065,,,,,False,CHEMBL1671282,Inhibition of CYP19,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1667722,1,Scientific Literature,J. Nat. Prod.,2011.0,None,
CHEMBL446083,,0,238.29,0,2.66,1,CN1C(=O)CCc2cc(-c3cccnc3)ccc21,IC50,'=',100.0,nM,7.0,,,UO_0000065,29.38,0.53,4.34,21.08,False,CHEMBL4186813,Inhibition of CYP19A1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL4184185,1,Scientific Literature,Bioorg Med Chem Lett,2018.0,None,
CHEMBL39423,,0,398.28,1,5.40,13a,CCn1ccc2cc(Br)cc(C(c3ccc(F)cc3)n3ccnc3)c21,IC50,'=',200.0,nM,6.7,,,UO_0000065,16.82,0.37,1.3,29.45,False,CHEMBL661694,"Inhibition of cytochrome P450 19A1 of human placental microsomes with [1-beta,2beta-3H]testosterone",B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1136431,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2003.0,None,
CHEMBL291646,,0,311.77,0,3.52,3c,Clc1ccc(C(C2Cc3ccccc3O2)n2cncn2)cc1,IC50,'=',200.0,nM,6.7,,,UO_0000065,21.49,0.42,3.18,16.77,False,CHEMBL645583,"Inhibition of human placental aromatase, cytochrome P450 19A1",B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1131809,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1999.0,None,
CHEMBL4163704,,0,321.36,0,4.23,8e,COc1ccc(-c2[nH]c3cc(F)ccc3c2Cn2ccnc2)cc1,IC50,'=',36.1,nM,7.44,,,UO_0000065,23.16,0.42,3.21,17.37,False,CHEMBL4143196,Inhibition of human aromatase using androstenedione as substrate and NADPH preincubated for 24 hrs followed by substrate addition measured after 24 hrs by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL4138218,1,Scientific Literature,Eur J Med Chem,2018.0,None,
CHEMBL4172433,,0,351.79,0,4.46,8j,Clc1ccc(-c2[nH]c3cc4c(cc3c2Cn2ccnc2)OCO4)cc1,IC50,'=',2635.0,nM,5.58,,,UO_0000065,15.86,0.3,1.12,10.71,False,CHEMBL4143196,Inhibition of human aromatase using androstenedione as substrate and NADPH preincubated for 24 hrs followed by substrate addition measured after 24 hrs by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL4138218,1,Scientific Literature,Eur J Med Chem,2018.0,None,
CHEMBL3804993,,0,380.43,0,1.90,3s,COc1cc([N+](=O)[O-])ccc1S(=O)(=O)N1CCCC(Cn2ccnc2)C1,IC50,'=',129.0,nM,6.89,,,UO_0000065,18.11,0.36,4.99,6.4,False,CHEMBL3806799,Inhibition of recombinant human aromatase using 7-methoxy-4-trifluoromethyl coumarin as substrate measured at anoxic conditions by fluorescence analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3804764,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2016.0,None,
CHEMBL381014,,0,304.18,1,5.22,BDBM8912,COc1ccc2c(Cl)c(-c3cccnc3)ccc2c1Cl,IC50,'=',970.0,nM,6.01,,384962,UO_0000065,19.77,0.41,0.79,27.18,False,CHEMBL3888233,"CYP19 Inhibition Assay: The enzyme was obtained from the microsome fraction of fresh human placenta (St. Josephs Krankenhaus, Saarbrucken-Dudweiler, Germany) according to the method of Thompson and Siiteri (Thompson, E. A. & Siiteri, P. K., J. Biol. Chem. 249: 5364-5372 (1974)). The isolated microsomes were suspended in a mini mum volume of phosphate buffer (0.05 M; pH 7.4; 20% glycerol). In addition, DTT (10 mM) and EDTA (1 mM) were added to protect the enzyme from degradation reactions. The protein concentration was determined according to Lowry et al. (Lowry, O. H. et al., J. Biol. Chem. 193: 265-275 (1951)) and should be about 35 mg/ml after the processing.",B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3886626,37,BindingDB Database,,2016.0,None,
CHEMBL1629804,,0,272.43,0,4.91,13,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C)[C@@H]1CCC2=O,IC50,'=',530.0,nM,6.28,,,UO_0000065,23.04,0.43,1.37,36.76,False,CHEMBL666801,Inhibition of 1 uM [1-beta-3H]-androstenedione binding to human placental microsome Cytochrome P450 19A1,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1125884,1,Scientific Literature,J. Med. Chem.,1991.0,None,
CHEMBL166017,,0,341.5,0,3.94,38,CN(C)CC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,IC50,'>',10000.0,nM,,,,UO_0000065,,,,,False,CHEMBL661698,In vitro inhibition to cytochrome P450 19A1 assayed using human placental microsomes,B,BAO_0000019,assay format,None,CHEMBL3987910,Placenta,None,Microsomes,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1129479,1,Scientific Literature,J. Med. Chem.,1996.0,None,
CHEMBL443530,,0,332.48,0,4.24,10,CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12,IC50,'=',44000.0,nM,4.36,,,UO_0000065,13.1,0.25,0.12,9.36,False,CHEMBL666801,Inhibition of 1 uM [1-beta-3H]-androstenedione binding to human placental microsome Cytochrome P450 19A1,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1125884,1,Scientific Literature,J. Med. Chem.,1991.0,None,
CHEMBL349963,,0,406.59,1,6.17,14,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSc3ccccc3)C1CCC2=O,IC50,'=',400.0,nM,6.4,,,UO_0000065,15.74,0.3,0.23,18.74,False,CHEMBL661698,In vitro inhibition to cytochrome P450 19A1 assayed using human placental microsomes,B,BAO_0000019,assay format,None,CHEMBL3987910,Placenta,None,Microsomes,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1129479,1,Scientific Literature,J. Med. Chem.,1996.0,None,
CHEMBL450666,,0,203.2,0,0.63,12,Cc1cc(=O)n(C)c2c1C(=O)C=CC2=O,IC50,'>',98400.0,nM,,,,UO_0000065,,,,,False,CHEMBL960910,Inhibition of aromatase after 30 mins by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153344,1,Scientific Literature,J. Med. Chem.,2009.0,None,
CHEMBL3623216,,0,329.44,0,3.51,244,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C(=O)C(O)=C(C#N)C[C@]34C)[C@@H]1CC[C@@H]2O,IC50,'=',1019.8,nM,5.99,,,UO_0000065,18.19,0.34,2.48,7.37,True,CHEMBL3755850,Inhibition of human aromatase extracted from placental microsomes using [1beta-3H]androstenedione as substrate by scintillation counting analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3751755,1,Scientific Literature,Eur. J. Med. Chem.,2015.0,None,
CHEMBL1444,LETROZOLE,4,285.31,0,2.66,Letrozole,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,IC50,'=',4.2,nM,8.38,,,UO_0000065,29.36,0.52,5.72,10.7,False,CHEMBL1785943,Inhibition of human recombinant aromatase using 7-methoxy-4-trifluoromethyl coumarin as substrate by fluorimetric analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1781936,1,Scientific Literature,J. Med. Chem.,2011.0,None,
